LSOA_Code,LSOA_Name,Borough,Mean_AI,Median_AI,Min_AI,Max_AI,PTAL_2023,PTAL_Score
E01004199,Tower Hamlets 002C,Tower Hamlets,27.766854597175264,27.753322558356285,25.742233427198613,29.856029484168825,6a,7
E01004200,Tower Hamlets 005A,Tower Hamlets,23.98101187896605,25.190478078221584,17.307244856071428,27.11969217507279,5,6
E01004201,Tower Hamlets 002D,Tower Hamlets,15.989368503796888,13.094789630840298,8.723427081619246,24.338061672450184,4,5
E01004202,Tower Hamlets 005B,Tower Hamlets,18.553004454106528,17.013528744488063,13.36412230329502,27.693617926654817,4,5
E01004203,Tower Hamlets 005C,Tower Hamlets,28.720637962886823,28.339738621206813,24.51289391851559,34.81831652515348,6a,7
E01004204,Tower Hamlets 005D,Tower Hamlets,19.54924434924911,20.125888464248916,15.536278134756028,22.049634943306405,4,5
E01004205,Tower Hamlets 013A,Tower Hamlets,33.00592979090492,33.75949086538356,21.729293288499694,42.2251141052542,6a,7
E01004206,Tower Hamlets 013B,Tower Hamlets,40.55860491498374,40.33956667484584,39.625224833942205,41.63430826719448,6b,8
E01004207,Tower Hamlets 011A,Tower Hamlets,29.766057236232797,30.116624747264417,18.704900197518214,37.87889606231428,6a,7
E01004208,Tower Hamlets 013C,Tower Hamlets,39.4703785640146,39.65765943986236,27.16141381354057,49.86038700733645,6a,7
E01004209,Tower Hamlets 011B,Tower Hamlets,37.908763627567616,40.61150350684861,25.322385887309583,44.9101257088648,6a,7
E01004211,Tower Hamlets 013D,Tower Hamlets,32.32335413570135,33.43959279516216,8.860475242395054,41.28650498410143,6a,7
E01004212,Tower Hamlets 011D,Tower Hamlets,37.46762967647216,41.582824027080136,21.201617682960272,43.948409829057134,6a,7
E01004214,Tower Hamlets 030A,Tower Hamlets,11.137114033345812,10.11551428576544,8.240941021705094,13.80623951277964,3,4
E01004216,Tower Hamlets 030B,Tower Hamlets,7.764397090905439,9.065407537553783,3.710105498279522,10.625323531463216,2,3
E01004217,Tower Hamlets 030C,Tower Hamlets,14.971320849913948,14.76109686305696,8.638989328693686,22.62083775412197,3,4
E01004218,Tower Hamlets 030D,Tower Hamlets,10.743033726142318,10.334363175412983,8.264152273764992,16.857357451180967,3,4
E01004219,Tower Hamlets 035B,Tower Hamlets,22.729316921858594,22.227487631784854,16.10890681710211,28.199913647757985,5,6
E01004221,Tower Hamlets 036A,Tower Hamlets,15.266465714021145,14.701450200522544,11.809580553232882,25.267030229868663,4,5
E01004222,Tower Hamlets 001A,Tower Hamlets,6.626541873532163,6.553328172158497,4.86854138623796,8.222002937218692,2,3
E01004223,Tower Hamlets 001B,Tower Hamlets,6.715264772215018,6.488413952359704,2.515612193847523,13.901452008961336,2,3
E01004226,Tower Hamlets 001D,Tower Hamlets,10.285335247695365,7.06477720016707,6.113339150462348,23.198497727709167,3,4
E01004228,Tower Hamlets 003A,Tower Hamlets,17.714798322663043,23.449812403019827,7.675308951898523,27.803221270526674,4,5
E01004229,Tower Hamlets 004C,Tower Hamlets,27.56747294267724,27.91915752864988,24.58696439255717,30.358627244038523,6a,7
E01004230,Tower Hamlets 003B,Tower Hamlets,26.71191108303365,26.5372559331834,22.384285826374636,31.886042280282325,6a,7
E01004231,Tower Hamlets 004D,Tower Hamlets,27.44279284049284,26.41433126629176,17.84613739313444,37.27623590942649,6a,7
E01004232,Tower Hamlets 003C,Tower Hamlets,32.00550566914302,31.4342668748548,27.305713371356628,36.6957842535089,6a,7
E01004233,Tower Hamlets 003D,Tower Hamlets,6.500165509931636,7.173102361774966,4.129446287857494,8.54005273947681,2,3
E01004234,Tower Hamlets 003E,Tower Hamlets,7.810852974721597,7.95962774089431,3.63687240158794,24.91423559367457,2,3
E01004235,Tower Hamlets 008A,Tower Hamlets,24.840270904416144,25.07643453816255,23.389542555907795,25.775426615250193,5,6
